Element	English	Norwegian Nynorsk
Ruthenium	Jędrzej Śniadecki isolated the element in 1807, but his work was not ratified.<br><br>Jöns Berzelius and Gottfried Osann nearly discovered ruthenium in 1827.<br><br>In 1844, Karl Ernst Claus confirmed that there was a new element and isolated ruthenium from the platinum residues of the rouble production while he was working in Kazan University, Kazan.	Jędrzej Śniadecki isolerte grunnstoffet i 1807, men arbeidet hans vart ikkje ratifisert.<br><br>Jöns Berzelius og Gottfried Osann var nær ved å oppdage ruthenium i 1827.<br><br>I 1844 stadfesta Karl Ernst Claus at det fanst eit nytt grunnstoff og isolerte ruthenium frå platinarestane frå rubelproduksjonen medan han arbeidde ved Kazan Universitetet, Kazan.
Rhodium	Rhodium was discovered in 1803 by William Hyde Wollaston in London.<br><br>He used crude platinum ore presumably obtained from South America.<br><br>The introduction of the three way catalytic converter by Volvo in 1976 increased the demand for rhodium.	Rhodium vart oppdaga i 1803 av William Hyde Wollaston i London.<br><br>Han nytta rå platinumalm truleg henta frå Sør-Amerika.<br><br>Innføringa av trevegskatalysatoren av Volvo i 1976 auka etterspørselen etter rhodium.
Palladium	Palladium was discovered in 1803, in London, by English chemist William Hyde Wollaston.<br><br>He examined the residues left from platinum after dissolving it in aqua regia, a concentrated solution of hydrochloric and nitric acids.<br><br>He then isolated palladium in a series of chemical reactions.	Palladium vart oppdaga i 1803 i London av den engelske kjemikaren William Hyde Wollaston.<br><br>Han undersøkte restane etter at platina var løyst opp i kongevann, ei konsentrert løysing av saltsyre og salpetersyre.<br><br>Han isolerte deretter palladium i ei rekkje kjemiske reaksjonar.
Silver	Silver has been used for thousands of years for ornaments and utensils, for trade, and as the basis for many monetary systems.<br><br>Its value as a precious metal was long considered second only to gold.<br><br>Slag dumps in Asia Minor and on islands in the Aegean Sea indicate that man learned to separate silver from lead as early as 3000 BC.	Sølv har vorte nytta i tusenvis av år til prydgjenstandar og reiskapar, til handel og som grunnlag for mange pengesystem.<br><br>Verdien som eit edelt metall vart lenge sett på som andreplass berre etter gull.<br><br>Slagghaugar i Vesle-Asia og på øyane i Egeerhavet tyder på at menneske lærte å skilje sølv frå bly allereie rundt 3000 f.Kr.
Cadmium	Cadmium was discovered by German chemist Friedrich Stromeyer in 1817 as an impurity in zinc carbonate.<br><br>Stromeyer noted that some impure samples of calamine (zinc carbonate) changed color when heated but pure calamine did not.<br><br>Cadmium was independently discovered by German chemist Karl Hermann in 1818.	Kadmium vart oppdaga av den tyske kjemikaren Friedrich Stromeyer i 1817 som ei ureining i sinkkarbonat.<br><br>Stromeyer la merke til at nokre ureine prøvar av kalamin (sinkkarbonat) skifta farge når dei vart varma opp, men rein kalamin ikkje.<br><br>Kadmium vart uavhengig oppdaga av den tyske kjemikaren Karl Hermann i 1818.
Indium	Ferdinand Reich and Hieronymous Theodor Richter first identified indium in sphalerite by its bright indigo-blue spectroscopic emission line.<br><br>As no element was known with a bright blue emission they concluded that a new element was present in the minerals.<br><br>Richter went on to isolate the metal in 1864.	Ferdinand Reich og Hieronymous Theodor Richter identifiserte fyrst indium i sfalerittmineralet ved den klåre indigoblå spektroskopiske emisjonslinja.<br><br>Sidan ingen grunnstoff var kjent med ei klår blå emisjon konkluderte dei med at eit nytt grunnstoff var til stades i minerala.<br><br>Richter gjekk vidare og isolerte metallet i 1864.
Tin	Tin was first smelted in combination with copper around 3500 BC to produce bronze.<br><br>The oldest artifacts date from around 2000 BC.<br><br>Cassiterite, the tin oxide form of tin, was most likely the original source of tin in ancient times.<br><br>British scientist Robert Boyle published a description of his experiments on the oxidation of tin in 1673.	Tinn vart fyrst smelta i kombinasjon med koppar rundt 3500 f.Kr. for å framstille bronse.<br><br>Dei eldste gjenstandane stammar frå rundt 2000 f.Kr.<br><br>Kassiteritt, tinnoksidforma av tinn, var truleg den opphavlege kjelda til tinn i gammal tid.<br><br>Den britiske vitskapsmannen Robert Boyle publiserte ei skildring av eksperimenta sine om oksidasjon av tinn i 1673.
Antimony	One of antimony's minerals, stibnite was recognized in predynastic Egypt as an eye cosmetic as early as about 3100 BC.<br><br>The first European description of a procedure for isolating antimony is in the book De la pirotechnia of 1540 by Vannoccio Biringuccio.<br><br>The first natural occurrence of pure antimony in the Earth's crust was described by the Swedish scientist and local mine district engineer Anton von Swab in 1783.	Ein av antimona sine mineral, stibnitt, vart anerkjent i fardynastisk Egypt som eit augekosmetikk allereie om lag 3100 f.Kr.<br><br>Den fyrste europeiske skildringa av ein prosedyre for å isolere antimon er i boka De la pirotechnia frå 1540 av Vannoccio Biringuccio.<br><br>Det fyrste naturlege førekomsten av reint antimon i jordskorpa vart skildra av den svenske vitskapsmannen og lokale gruveingeniøren Anton von Swab i 1783.
Tellurium	Tellurium was discovered in Transylvania in 1782 by Franz-Joseph Müller von Reichenstein in a mineral containing tellurium and gold.<br><br>In 1789, another Hungarian scientist, Pál Kitaibel, also discovered the element independently in an ore from Deutsch-Pilsen which had been regarded as argentiferous molybdenite.<br><br>In 1798, it was named by Martin Heinrich Klaproth who earlier isolated it from the mineral calaverite.	Tellur vart oppdaga i Transylvania i 1782 av Franz-Joseph Müller von Reichenstein i eit mineral som inneheldt tellur og gull.<br><br>I 1789 oppdaga ein annan ungarsk vitskapsmann, Pál Kitaibel, òg grunnstoffet uavhengig i ei malm frå Deutsch-Pilsen som hadde vorte rekna som sølvhaldig molybdenitt.<br><br>I 1798 vart det namngitt av Martin Heinrich Klaproth som tidlegare hadde isolert det frå mineralet kalaveritt.
Iodine	Iodine was discovered by French chemist Bernard Courtois in 1811.<br><br>He treated the liquor obtained from the extraction of kelp, with sulfuric acid to produce a vapour with a violet color.<br><br>In 1812, Joseph Louis Gay-Lussac demonstrated that iodine was an element and its chemical relationship to chlorine.	Jod vart oppdaga av den franske kjemikaren Bernard Courtois i 1811.<br><br>Han behandla væska som vart oppnådd frå ekstraksjon av tang med svovelsyre for å produsere ein damp med fiolett farge.<br><br>I 1812 demonstrerte Joseph Louis Gay-Lussac at jod var eit grunnstoff og det kjemiske forholdet til klor.
Xenon	Xenon was discovered in England by the Scottish chemist William Ramsay and English chemist Morris Travers in 1898.<br><br>They found xenon in the residue left over from evaporating components of liquid air.<br><br>Spectroscopic analysis showed the previously unseen beautiful blue lines that indicated the presence of a new element.	Xenon vart oppdaga i England av den skotske kjemikaren William Ramsay og den engelske kjemikaren Morris Travers i 1898.<br><br>Dei fann xenon i restane etter fordamping av komponentane i flytande luft.<br><br>Spektroskopisk analyse viste dei tidlegare usette vakre blå linene som indikerte tilstadeveringa av eit nytt grunnstoff.
Caesium	Robert Bunsen and Gustav Kirchhoff were the first to suggest finding cesium in 1860 by spectrum analysis.<br><br>They discovered cesium by its two blue emission lines in a sample of Dürkheim mineral water.<br><br>The pure metal was eventually isolated by the German chemist Carl Setterberg while working on his doctorate with Kekulé and Bunsen.	Robert Bunsen og Gustav Kirchhoff var dei fyrste som foreslo å finne cesium i 1860 ved spektralanalyse.<br><br>Dei oppdaga cesium ved to blå emisjonsliner i ei prøve av Dürkheim mineralvatn.<br><br>Det reine metallet vart endeleg isolert av den tyske kjemikaren Carl Setterberg medan han arbeidde på doktorgraden sin med Kekulé og Bunsen.
Barium	Barium was identified as a new element in 1774 by Carl Wilhelm Scheele.<br><br>Barium was first isolated by electrolysis of molten barium salts in 1808, by Sir Humphry Davy in England.<br><br>Robert Bunsen and Augustus Matthiessen obtained pure barium by electrolysis of a molten mixture of barium chloride and ammonium chloride.	Barium vart identifisert som eit nytt grunnstoff i 1774 av Carl Wilhelm Scheele.<br><br>Barium vart fyrst isolert ved elektrolyse av smelta bariumsalt i 1808 av Sir Humphry Davy i England.<br><br>Robert Bunsen og Augustus Matthiessen oppnådde reint barium ved elektrolyse av ei smelta blanding av bariumklorid og ammoniumklorid.
Lanthanum	Lanthanum was discovered in 1839 by Swedish chemist Carl Gustav Mosander.<br><br>He partially decomposed a sample of cerium nitrate by heating and treating the resulting salt with dilute nitric acid.<br><br>From the resulting solution, he obtained a pale brick colored oxide of the new rare earth.<br><br>Lanthanum was isolated in relatively pure form in 1923.	Lantan vart oppdaga i 1839 av den svenske kjemikaren Carl Gustav Mosander.<br><br>Han delvis sønderdelte ei prøve av ceriumnitrat ved å varme opp og behandle det resulterende saltet med fortynna salpetersyre.<br><br>Frå den resulterende løysinga fekk han eit blekraudt oksid av det nye sjeldan-jord-grunnstoffet.<br><br>Lantan vart isolert i relativt rein form i 1923.
Cerium	Jöns Jakob Berzelius and Wilhelm Hisinger discovered the element in ceria in 1803 in Sweden.<br><br>Klaproth discovered it simultaneously and independently in some tantalum samples in Germany.<br><br>Carl Gustaf Mosander, who worked closely with Berzelius, prepared metallic cerium in 1825.	Jöns Jakob Berzelius og Wilhelm Hisinger oppdaga grunnstoffet i ceria i 1803 i Sverige.<br><br>Klaproth oppdaga det samstundes og uavhengig i nokre tantalprøvar i Tyskland.<br><br>Carl Gustaf Mosander, som arbeidde tett med Berzelius, framstilte metallisk cerium i 1825.
Praseodymium	Praseodymium was first identified in 1885, in Vienna, by the Austrian chemist Carl Auer von Welsbach.<br><br>It was discovered in didymium, a substance incorrectly said by Carl Gustav Mosander to be a new element in 1841.<br><br>Pure metallic praseodymium was first produced in 1931.	Praseodym vart fyrst identifisert i 1885 i Wien av den austerrikske kjemikaren Carl Auer von Welsbach.<br><br>Det vart oppdaga i didymium, eit stoff Carl Gustav Mosander feilaktig sa var eit nytt grunnstoff i 1841.<br><br>Reint metallisk praseodym vart fyrst framstilt i 1931.
Neodymium	Neodymium was first identified in 1885, in Vienna, by the Austrian chemist Carl Auer von Welsbach.<br><br>It was discovered in didymium, a substance incorrectly said by Carl Gustav Mosander to be a new element in 1841.<br><br>Pure neodymium metal was isolated in 1925.	Neodym vart fyrst identifisert i 1885 i Wien av den austerrikske kjemikaren Carl Auer von Welsbach.<br><br>Det vart oppdaga i didymium, eit stoff Carl Gustav Mosander feilaktig sa var eit nytt grunnstoff i 1841.<br><br>Reint neodymmetall vart isolert i 1925.
Promethium	The existence of an element between neodymium and samarium was first predicted by Czech chemist Bohuslav Brauner in 1902.<br><br>Promethium was first produced and characterized at Oak Ridge National Laboratory in 1945 by Jacob A. Marinsky, Lawrence E. Glendenin and Charles D. Coryell.<br><br>It was produced by the separation and analysis of the fission products of uranium fuel irradiated in a graphite reactor.	Eksistensen av eit grunnstoff mellom neodym og samarium vart fyrst spådd av den tsjekkiske kjemikaren Bohuslav Brauner i 1902.<br><br>Promethium vart fyrst framstilt og karakterisert ved Oak Ridge National Laboratory i 1945 av Jacob A. Marinsky, Lawrence E. Glendenin og Charles D. Coryell.<br><br>Det vart framstilt ved separasjon og analyse av fisjonsprodukta av uranbrensel bestrålt i ein grafittreaktor.
Samarium	In 1853, Jean Charles Galissard de Marignac discovered samarium when he found lines in mineral spectra.<br><br>Paul Émile Lecoq de Boisbaudran isolated a samarium salt in Paris in 1879 from the mineral samarskite and identified a new element in it via sharp optical absorption lines.<br><br>The pure element was produced only in 1901 by Eugène-Anatole Demarçay.	I 1853 oppdaga Jean Charles Galissard de Marignac samarium då han fann liner i mineralspektra.<br><br>Paul Émile Lecoq de Boisbaudran isolerte eit samariumsalt i Paris i 1879 frå mineralet samarskitt og identifiserte eit nytt grunnstoff i det via skarpe optiske absorpsjonslinjer.<br><br>Det reine grunnstoffet vart berre framstilt i 1901 av Eugène-Anatole Demarçay.
Europium	Europium was first found by Paul Émile Lecoq de Boisbaudran in 1890.<br><br>In 1896, French chemist Eugène-Antole Demarçay identified spectroscopic lines in ‘samarium' caused by europium.<br><br>He successfully isolated europium in 1901 using repeated crystallizations of samarium magnesium nitrate.	Europium vart fyrst funne av Paul Émile Lecoq de Boisbaudran i 1890.<br><br>I 1896 identifiserte den franske kjemikaren Eugène-Antole Demarçay spektroskopiske liner i 'samarium' forårsaka av europium.<br><br>Han isolerte vellykka europium i 1901 ved å bruke gjentekne krystallisasjonar av samariummagnesiumnitrat.
Gadolinium	Gadolinium was first detected spectroscopically in 1880 by the Swiss chemist Jean Charles Galissard de Marignac who separated its oxide.<br><br>He observed spectroscopic lines due to gadolinium in samples of gadolinite and in the separate mineral cerite.<br><br>The metal was isolated by Paul Emile Lecoq de Boisbaudran in 1886.	Gadolinium vart fyrst påviste spektroskopisk i 1880 av den sveitsiske kjemikaren Jean Charles Galissard de Marignac som skilde ut oksidet.<br><br>Han observerte spektroskopiske liner på grunn av gadolinium i prøvar av gadolinitt og i det separate mineralet cerittitt.<br><br>Metallet vart isolert av Paul Emile Lecoq de Boisbaudran i 1886.
Terbium	Terbium was discovered in 1843 by Swedish chemist Carl Gustaf Mosander, who detected it as an impurity in yttria.<br><br>Using ammonium hydroxide he precipitated fractions of different basicity from yttria.<br><br>In these fractions he found that the fraction that was essentially colorless in solution, but gave a brown-tinged oxide was terbium.	Terbium vart oppdaga i 1843 av den svenske kjemikaren Carl Gustaf Mosander, som påviste det som ei ureining i yttria.<br><br>Med ammoniakk felte han ut fraksjonar av ulik basitet frå yttria.<br><br>I desse fraksjonane fann han at fraksjonen som i hovudsak var fargelaus i løysing, men gav eit brunfarva oksid, var terbium.
Dysprosium	French chemist Paul Émile Lecoq de Boisbaudran, while working with holmium oxide, separated dysprosium oxide from it in Paris in 1886.<br><br>His procedure for isolating the dysprosium involved dissolving dysprosium oxide in acid, then adding ammonia to precipitate the hydroxide.<br><br>It was not isolated in pure form until the development of ion exchange techniques in the 1950s.	Den franske kjemikaren Paul Émile Lecoq de Boisbaudran, medan han arbeidde med holmiumoksid, skilde dysprosiumoksid frå det i Paris i 1886.<br><br>Prosedyren hans for å isolere dysprosium innebar å løyse dysprosiumoksid i syre, deretter å tilsetje ammoniakk for å felle ut hydroksid.<br><br>Det vart ikkje isolert i rein form før utviklinga av ionbytteteknikkane på 1950-talet.
Holmium	Holmium was discovered by Swiss chemists Marc Delafontaine and Jacques-Louis Soret in 1878.<br><br>They noticed the aberrant spectrographic absorption bands of the then-unknown element.<br><br>Later in 1878, Per Teodor Cleve independently discovered the element while he was working on erbia earth.	Holmium vart oppdaga av dei sveitsiske kjemikarane Marc Delafontaine og Jacques-Louis Soret i 1878.<br><br>Dei la merke til dei avvikande spektrografiske absorpsjonsbanda til det då ukjende grunnstoffet.<br><br>Seinare i 1878 oppdaga Per Teodor Cleve uavhengig grunnstoffet medan han arbeidde med erbiajord.
Erbium	Erbium was discovered in 1843 by Swedish chemist Carl Gustaf Mosander, who detected it as an impurity in yttria.<br><br>Using ammonium hydroxide he precipitated fractions of different basicity from yttria.<br><br>In these fractions he found that the fraction that contained the pink color was erbium.	Erbium vart oppdaga i 1843 av den svenske kjemikaren Carl Gustaf Mosander, som påviste det som ei ureining i yttria.<br><br>Med ammoniakk felte han ut fraksjonar av ulik basitet frå yttria.<br><br>I desse fraksjonane fann han at fraksjonen som inneheldt den rosa fargen var erbium.
Thulium	Thulium was discovered by Swedish chemist Per Teodor Cleve in 1879 by looking for impurities in the oxides of other rare earth elements.<br><br>The first researcher to obtain nearly pure thulium was Charles James, a British expatriate working on a large scale at New Hampshire College in Durham.<br><br>High-purity thulium oxide was first offered commercially in the late 1950s.	Thulium vart oppdaga av den svenske kjemikaren Per Teodor Cleve i 1879 ved å leita etter ureiningar i oksida av andre sjeldan-jord-grunnstoff.<br><br>Den fyrste forskaren som oppnådde nesten reint thulium var Charles James, ein britisk ekspat som arbeidde i stor skala ved New Hampshire College i Durham.<br><br>Høgrenleik thuliumoksid vart fyrst tilbydd kommersielt i slutten av 1950-åra.
Ytterbium	Ytterbium was discovered by the Swiss chemist Jean Charles Galissard de Marignac in the year 1878.<br><br>In 1907, in Paris, George Urbain separated ytterbia into two constituents.<br><br>Ytterbium metal was first made in 1937 by Klemm and Bonner by heating ytterbium chloride and potassium together.<br><br>A relatively pure sample of the metal was obtained only in 1953.	Ytterbium vart oppdaga av den sveitsiske kjemikaren Jean Charles Galissard de Marignac i 1878.<br><br>I 1907 skilde George Urbain ytterbia i to bestanddelar i Paris.<br><br>Ytterbiummetall vart fyrst laga i 1937 av Klemm og Bonner ved å varme opp ytterbiumklorid og kalium saman.<br><br>Ei relativt rein prøve av metallet vart berre oppnådd i 1953.
Lutetium	French chemist Georges Urbain successfully separated lutetium from ytterbia in 1907 in Paris.<br><br>Austrian scientist Carl Auer von Welsbach and American chemist Charles James also succeeded in isolating lutetium independently in the same year.<br><br>Pure lutetium metal was first produced in 1953.	Den franske kjemikaren Georges Urbain skilde lutetium frå ytterbia i 1907 i Paris.<br><br>Den austerrikske vitskapsmannen Carl Auer von Welsbach og den amerikanske kjemikaren Charles James lukkast òg med å isolere lutetium uavhengig same år.<br><br>Reint lutetiummetall vart fyrst framstilt i 1953.
Hafnium	In 1911, Georges Urbain claimed to have found the element in rare-earth residues which was shown later to be a mixture of already discovered lanthanides.<br><br>Dirk Coster and George de Hevesy found it by X-ray spectroscopic analysis in Norwegian zircon in 1922.<br><br>Anton Eduard van Arkel and Jan Hendrik de Boer were the first to prepare metallic hafnium by passing hafnium tetra-iodide vapor over a heated tungsten filament in 1924.	I 1911 hevda Georges Urbain at han hadde funne grunnstoffet i sjeldan-jord-restar, noko som seinare vart vist å vera ei blanding av allereie oppdaga lantanidane.<br><br>Dirk Coster og George de Hevesy fann det ved røntgenspektroskopisk analyse i norsk zirkon i 1922.<br><br>Anton Eduard van Arkel og Jan Hendrik de Boer var dei fyrste til å framstille metallisk hafnium ved å lata hafniumtetra-jodiddamp passere over eit oppvarma wolframfilament i 1924.
Tantalum	Tantalum was discovered in Sweden in 1802 by Anders Ekeberg in the minerals tantalite from Finland and yttrotantalite from Sweden.<br><br>Unfortunately, William Hyde Wollaston claimed Ekeberg's new element was actually niobium, which had also been discovered in 1802.<br><br>In 1846, German chemist Heinrich Rose finally proved beyond doubt that tantalum and niobium were different elements.	Tantal vart oppdaga i Sverige i 1802 av Anders Ekeberg i minerala tantalitt frå Finland og yttrotantalitt frå Sverige.<br><br>Diverre hevda William Hyde Wollaston at Ekebergs nye grunnstoff faktisk var niobium, som òg hadde vorte oppdaga i 1802.<br><br>I 1846 beviste den tyske kjemikaren Heinrich Rose endeleg utover tvil at tantal og niobium var ulike grunnstoff.
Tungsten	Torbern Bergman obtained from scheelite an oxide of a new element in 1781.<br><br>In 1783, José and Fausto Elhuyar found an acid made from wolframite that was identical to tungstic acid.<br><br>Later that year, in Spain, the brothers succeeded in isolating tungsten by reduction of this acid with charcoal, and they are credited with the discovery of the element.	Torbern Bergman fekk frå scheelitt eit oksid av eit nytt grunnstoff i 1781.<br><br>I 1783 fann José og Fausto Elhuyar ei syre laga av wolframitt som var identisk med wolframsyre.<br><br>Seinare det året lukkast brørne i Spania med å isolere wolfram ved reduksjon av denne syra med trekol, og dei vert kreditert for oppdaginga av grunnstoffet.
Rhenium	In 1908, Japanese chemist Masataka Ogawa announced that he discovered the 43rd element.<br><br>However, later analysis indicated the presence of rhenium (element 75), not element 43.<br><br>In 1922, Walter Noddack, Ida Eva Tacke and Otto Berg announced its separation from gadolinite and gave it the present name.	I 1908 kunngjorde den japanske kjemikaren Masataka Ogawa at han hadde oppdaga det 43. grunnstoffet.<br><br>Seinare analyse indikerte likevel tilstadeveringa av rhenium (grunnstoff 75), ikkje grunnstoff 43.<br><br>I 1922 kunngjorde Walter Noddack, Ida Eva Tacke og Otto Berg separasjonen frå gadolinitt og gav det det noverande namnet.
Osmium	Osmium was discovered in 1803 by English chemist Smithson Tennant in London.<br><br>Chemists who studied platinum dissolved it in aqua regia to create soluble salts and observed a small amount of a dark, insoluble residue.<br><br>Smithson Tennant analyzed the insoluble residue and concluded that it must contain a new metal.	Osmium vart oppdaga i 1803 av den engelske kjemikaren Smithson Tennant i London.<br><br>Kjemikarar som studerte platina løyste det opp i kongevann for å lage løyselege salt og observerte ei lita mengd av eit mørkt, uløyseleg reststoff.<br><br>Smithson Tennant analyserte det uløyselege reststoffet og konkluderte med at det måtte innehalde eit nytt metall.
Iridium	Iridium was discovered in 1803 by English chemist Smithson Tennant in London.<br><br>Chemists who studied platinum dissolved it in aqua regia to create soluble salts and observed a small amount of a dark, insoluble residue.<br><br>Smithson Tennant analyzed the insoluble residue and concluded that it must contain a new metal.	Iridium vart oppdaga i 1803 av den engelske kjemikaren Smithson Tennant i London.<br><br>Kjemikarar som studerte platina løyste det opp i kongevann for å lage løyselege salt og observerte ei lita mengd av eit mørkt, uløyseleg reststoff.<br><br>Smithson Tennant analyserte det uløyselege reststoffet og konkluderte med at det måtte innehalde eit nytt metall.
Platinum	Platinum was first used by pre-Columbian South American natives to produce artifacts.<br><br>Antonio de Ulloa published his findings about platinum in 1748, but Sir Charles Wood also investigated the metal in 1741.<br><br>First reference to it as a new metal was made by William Brownrigg in 1750.	Platina vart fyrst nytta av pre-kolumbianske søraustamerikanske urfolk for å framstille gjenstandar.<br><br>Antonio de Ulloa publiserte funna sine om platina i 1748, men Sir Charles Wood undersøkte òg metallet i 1741.<br><br>Fyrste referanse til det som eit nytt metall vart gjort av William Brownrigg i 1750.
Gold	Gold has been known since prehistoric times and was the first metal used by humans.<br><br>Gold artifacts dated to 5000 years ago have been found in Egyptian tombs.<br><br>Gold of 98% purity has been found in Nahal Qunah in the ancient kingdom of Israel, dating from about 6000 years ago.	Gull har vore kjent sidan forhistorisk tid og var det fyrste metallet som vart nytta av menneske.<br><br>Gullgjenstandar som er datert til 5000 år sidan har vorte funne i egyptiske graver.<br><br>Gull med 98% reinleik har vorte funne i Nahal Qunah i det gamle kongeriket Israel, og stammar frå om lag 6000 år sidan.
Mercury	Mercury was known to the ancient Chinese and Indians and has been found in Egyptian tombs dating back to about 1500 BC.<br><br>Alchemists thought of mercury as the First Matter from which all metals were formed.<br><br>They believed that different metals could be produced by varying the quality and quantity of sulfur contained within the mercury.	Kvikksølv var kjent for dei gamle kinesarane og indiarane og har vorte funne i egyptiske graver som daterer attende til om lag 1500 f.Kr.<br><br>Alkemistar tenkte på kvikksølv som Fyrstemateria som alle metall vart danna frå.<br><br>Dei trudde at ulike metall kunne framstillast ved å variere kvaliteten og mengda av svovel i kvikksølvet.
Thallium	Thallium was discovered spectroscopically by Sir William Crookes in 1861, in London.<br><br>In 1862, Claude-Auguste Lamy used a spectrometer to determine the composition of a selenium-containing substance which was deposited during the production of sulfuric acid from pyrite.<br><br>He noticed the new green line in the spectra and concluded that a new element was present.	Thallium vart oppdaga spektroskopisk av Sir William Crookes i 1861 i London.<br><br>I 1862 nytta Claude-Auguste Lamy eit spektrometer til å fastslå samansetjinga av eit selenhaldig stoff som vart avsett under produksjon av svovelsyre frå pyritt.<br><br>Han la merke til den nye grøne linja i spektra og konkluderte med at eit nytt grunnstoff var til stades.
Lead	Metallic lead beads dating back to 6400 BC have been found in Çatalhöyük in modern-day Turkey.<br><br>The Romans also used lead in molten form to secure iron pins that held together large limestone blocks in certain monumental buildings.<br><br>In alchemy, lead was thought to be the oldest metal and was associated with the planet Saturn.	Metalliske blykular som daterer attende til 6400 f.Kr. har vorte funne i Çatalhöyük i det moderne Tyrkia.<br><br>Romarane nytta òg bly i smelta form til å sikre jernpinnar som heldt saman store kalksteinblokkar i visse monumentale bygningar.<br><br>I alkemien vart bly rekna for å vera det eldste metallet og var knytt til planeten Saturn.
Bismuth	Bismuth has been known since ancient times, so no one person is credited with its discovery.<br><br>The element was confused in early times with tin and lead because of its resemblance to those elements.<br><br>In 1753, French chemist Claude François Geoffroy demonstrated that this metal is distinct from lead and tin.	Vismut har vore kjend sidan antikken, så ingen enkeltperson vert kreditert for oppdaginga.<br><br>Grunnstoffet vart forveksla med tinn og bly i tidleg tid på grunn av likskapane med desse elementa.<br><br>I 1753 demonstrerte den franske kjemikaren Claude François Geoffroy at dette metallet er ulikt bly og tinn.
Polonium	Polonium was discovered by Marie and Pierre Curie in 1898 in Paris.<br><br>This element was the first one discovered by the Curies while they were investigating the cause of pitchblende radioactivity.<br><br>The dangers of working with radioactive elements were not known when the Curies made their discoveries.	Polonium vart oppdaga av Marie og Pierre Curie i 1898 i Paris.<br><br>Dette grunnstoffet var det fyrste som vart oppdaga av Curie-paret medan dei undersøkte årsaka til radioaktiviteten til beksblende.<br><br>Farene ved å arbeide med radioaktive grunnstoff var ikkje kjende då Curie-paret gjorde oppdagingane sine.
Astatine	In 1869, existence of astatine was first predicted by Russian chemist Dmitri Mendeleev and called the element eka-iodine.<br><br>In 1940, Dale R. Corson, Kenneth Ross MacKenzie, and Emilio Segrè isolated the element at the University of California, Berkeley.<br><br>Instead of searching for the element in nature, the scientists created it by bombarding bismuth-209 with alpha particles.	I 1869 vart eksistensen av astat fyrst spådd av den russiske kjemikaren Dmitri Mendelejev og kalla grunnstoffet eka-jod.<br><br>I 1940 isolerte Dale R. Corson, Kenneth Ross MacKenzie og Emilio Segrè grunnstoffet ved University of California, Berkeley.<br><br>I staden for å leite etter grunnstoffet i naturen skapte forskarane det ved å bombardere vismut-209 med alfapartiklar.
Radon	Radon was discovered in 1900 by Friedrich Ernst Dorn in Halle, Germany.<br><br>He reported some experiments in which he noticed that radium compounds emanate a radioactive gas.<br><br>In 1910, Sir William Ramsay and Robert Whytlaw-Gray isolated radon, determined its density, and determined that it was the heaviest known gas.	Radon vart oppdaga i 1900 av Friedrich Ernst Dorn i Halle, Tyskland.<br><br>Han rapporterte om nokre eksperiment der han la merke til at radiumforbindelsar avgjev ein radioaktiv gass.<br><br>I 1910 isolerte Sir William Ramsay og Robert Whytlaw-Gray radon, fastsette tettheita og fastslå at det var den tyngste kjende gassen.
Francium	Francium was discovered in 1939 by Marguerite Perey of the Curie Institute in Paris, France.<br><br>It was discovered when she was researching the radioactive decay of actinium-227.<br><br>Marguerite Perey discovered that francium-223 is made naturally when actinium-227 emits an alpha-particle.	Francium vart oppdaga i 1939 av Marguerite Perey frå Curie-instituttet i Paris, Frankrike.<br><br>Det vart oppdaga då ho undersøkte det radioaktive forfallet til aktinium-227.<br><br>Marguerite Perey oppdaga at francium-223 vert laga naturleg når aktinium-227 sender ut ein alfapartikkel.
Radium	Radium was discovered by Marie Curie and Pierre Curie in 1898.<br><br>They extracted the radium compound from a uraninite sample.<br><br>Radium was isolated in its metallic state by Marie Curie and André-Louis Debierne in 1910 through the electrolysis of radium chloride by using a mercury cathode and distilling in an atmosphere of hydrogen gas.	Radium vart oppdaga av Marie Curie og Pierre Curie i 1898.<br><br>Dei trakk ut radiumforbindinga frå ei uraninittprøve.<br><br>Radium vart isolert i metallisk tilstand av Marie Curie og André-Louis Debierne i 1910 gjennom elektrolyse av radiumklorid ved å bruke eit kvikksølvkatode og destillere i ei hydrogenatmosfære.
Actinium	André-Louis Debierne, a French chemist, discovered actinium in 1899.<br><br>He separated it from pitchblende residues left by Marie and Pierre Curie after they had extracted radium.<br><br>Friedrich Oskar Giesel independently discovered actinium in 1902 as a substance being similar to lanthanum.	André-Louis Debierne, ein fransk kjemikar, oppdaga aktinium i 1899.<br><br>Han skilde det frå beksblende-restar som Marie og Pierre Curie hadde lete att etter at dei hadde trekt ut radium.<br><br>Friedrich Oskar Giesel oppdaga uavhengig aktinium i 1902 som eit stoff som likna lantan.
